language,model,n_params,R2,RSS,RSE,AIC,BIC
turkish,model2,2,0.48436561335662043,260.98472983515506,0.6114765935059708,2391.0198192670396,3873.1619135196447
turkish,model3,2,0.38221007549279207,312.69003914183514,0.669313079784444,2565.9809824480694,4048.1230767006746
turkish,model4,1,0.37061306573568975,318.5597843270923,0.6750825566290362,2587.1448948171437,4064.379233790767
turkish,model5,3,0.5149218992954641,245.51887992854228,0.5935072904111817,2334.203457410372,3821.2533069419596
turkish,model1p,2,0.4645092855873212,271.03487092858245,0.6231389149680345,2433.2419323535923,3915.384026606197
turkish,model2p,3,0.5026848636481369,251.71256973109928,0.6009468494189326,2358.744380440671,3845.7942299722586
turkish,model3p,3,0.4069106951027177,300.1879936952116,0.656266551962021,2530.134149120334,4017.183998651921
turkish,model4p,2,0.5026934439930788,251.7082268496613,0.6005110369637464,2356.7055768438568,3838.8476710964624
turkish,model5p,4,0.5208670500583692,242.5097835496401,0.5902826416676002,2326.9451731203126,3818.902777930882
chinese,null,0,-2.1081450439232,2039.5915504193445,1.7069570044042637,4142.161599060317,5614.488182754958
chinese,model1,1,-1.4718724150171099,1622.0639706761804,1.5233349317441895,3677.3285058087395,5154.562844782363
chinese,model2,2,0.3994218728090113,394.104540256353,0.7514117946778727,2683.6860598520966,4165.828154104702
chinese,model3,2,0.33574501152754765,435.8898451219734,0.7902430124964022,2813.5920864913205,4295.734180743926
chinese,model4,1,0.26250995418787204,483.9473205723274,0.8320711361656246,3002.716306995214,4479.950645968837
chinese,model5,3,0.4090908596886138,387.75966778030516,0.7458730720236666,2658.0734063718082,4145.123255903396
chinese,model1p,2,0.3880799933179375,401.54717927382615,0.7584737911070577,2720.4954807096974,4202.637574962302
chinese,model2p,3,0.4073106026197788,388.92788780345666,0.7469957887898758,2665.0248270310767,4152.0746765626645
chinese,model3p,3,0.3507818991460038,426.0225099436585,0.7818075935049902,2795.923301393205,4282.973150924792
chinese,model4p,2,0.4073149054180979,388.9250642701367,0.746457790152066,2663.0351959017917,4145.177290154397
chinese,model5p,4,0.41139567955379674,386.247225131769,0.7449516156584144,2658.1641291322744,4150.121733942844
